Cluster;RAJ2000;DEJ2000;GLON;GLAT;RV (km/s);pmRA (mas/yr);pmDE (mas/yr);Plx (mas)
NGC 1904;" 	05 24 10.59";-24 31 27.3;" 	227.22915";-2.935.152;205.6;2.47; -1.59;" 	0.088"
NGC 1851;" 	05 14 06.76";-40 02 47.6;24.451.323;-3.503.598;320.2;" 	2.12"; -0.63;0.088
NGC 6266;17 01 12.60;-30 06 44.5;35.357.458;731.956;-74.5;" 	-4.99";-2.95;0.185
NGC 5139;" 	13 26 47.28";-47 28 46.1;30.910.202;1.496.833;232.7;" 	-3.24"; -6.73;" 	0.193"
NGC 3201;10 17 36.82;-46 24 44.9;27.722.879;864.038;494.3;8.35; -2.00;0.222
NGC 0362;01 03 14.26;-70 50 55.6;" 	301.53298";-4.624.741;223.5;6.71; -2.51;0.114
NGC 5286;13 46 26.81;-51 22 27.3;31.161.419;1.056.780;62.2;0.20;-0.16;" 	0.088"
NGC 6218;" 	16 47 14.18";-01 56 54.7;1.571.520;2.631.328;-41.2;-0.15; -6.77;0.208
NGC 5904;15 18 33.22;02 04 51.7;385.873;4.679.637;53.8;4.06; -9.89;0.141
NGC 6093;" 	16 17 02.41";-22 58 33.9;35.267.323;1.946.302;11.2;-2.934;-5.578;" 	0.102"
NGC 6254;16 57 09.05;-04 06 01.1;1.513.706;2.307.598;74.0;-4.72; -6.54;0.196
NGC 6293;" 	17 10 10.42";-26 34 54.2;35.762.094;783.385;-142.6;0.87;-4.31;0.127
NGC 6388;" 	17 36 17.461";-44 44 08.34;345.556.706;-6.738.391;83.4;-1.33;-2.68;0.100
NGC 6522;" 	18 03 34.08";-30 02 02.3;102.461;-392.556;-14.0;2.62; -6.40;0.125
NGC 6441;17 50 13.06;-37 03 05.2;35.353.224;-500.580;17.1;-2.551;-5.348;0.083
NGC 6541;18 08 02.36;-43 42 53.6;34.928.607;-1.118.819;-163.9;" 	0.32"; -8.85;0.145
NGC 6624;18 23 40.51;-30 21 39.7;278.832;-791.346;54.7;0.11; -6.92;" 	0.130"
NGC 7078;21 29 58.33;12 10 01.2;6.501.264;-2.731.263;-106.5;-0.63; -3.80;0.097
NGC 6656;18 36 23.94;-23 54 17.1;989.226;-755.164;-147.8;9.82;-5.54;" 	0.306"
NGC 6681;18 43 12.76;-32 17 31.6;285.293;-1.250.987;217.4;1.39; -4.72;" 	0.121"
NGC 6752;19 10 52.11;-59 59 04.4;33.649.291;-2.562.835;-26.2;-3.17;-4.01;0.254
NGC 7089;" 	21 33 27.02";-00 49 23.7;" 	053.37088";-3.576.976;-3.6;3.51; -2.16;0.082
NGC 7099;21 40 22.12;-23 10 47.5;2.717.915;-4.683.551;-185.3;-0.73; -7.24;0.136
Berkeley 86;20 20 20.2;38 41 17;766.498;12.760;-3733;-3.447;-5.402;0.558
IC 1805;02 32 50.4;61 28 16;1.347.331;0.9446;-40.60;-0.702; -0.669;0.449
IC 2944;11 38 20.00;-63 22 22.0;29.484.891;-165.410;-0.9;-5.160;-2.390;
NGC 457;01 19 32.9;58 16 41;1.266.312;-43.917;-11.57;-1.586;-0.661;0.318
NGC 884;02 22 20.2;57 08 56;1.350.518;-35.683;-43.525;-0.6021;-10.616;0.3976
NGC 1502;04 07 49.0;62 19 55;1.436.706;76.565;-16.3;-0.571; -0.848;" 	0.916"
NGC 2244;06 32 10.8;04 54 50;2.063.607;-20.265;33.62;-1.598; 0.179;" 	0.617"
NGC 2362;07 18 41.0;-24 57 14;2.381.781;-55.476;28.860;-2.791;2.953;0.742
NGC 2384;07 25 10.0;-21 01 18;2.353.899;-23.928;46.0;-3.99; 2.28;0.330
NGC 2422;" 	07 36 35.3";-14 29 20;2.309.636;31.285;36.14;-70.200; 0.9592;20.690
NGC 2467;07 52 18.5;-26 25 41;2.431.505;00.3580; 55.8;-5.82; 1.63;
NGC 3293;10 35 52.8;-58 13 52;" 	285.8601";00.0747;-13.160;-7.671;3.344;0.376
NGC 4755;12 53 39.6;-60 22 16;3.032.068;24.996;" 	-20.0";-4.647;-1.134;0.462
NGC 6193;16 41 16.6;-48 46 37;3.366.941;-15.756;-64.534;1.278;-4111;0.812
NGC 7160;21 53 47.5;62 35 20;1.040.140;64.370;-20.4;-3.472;-1.378;" 	1.050"
Trumpler 14;10 43 56.6;-59 33 11;2.874.107;-00.5794;-10.01;-6540;2.076;0.385
Trumpler 16;10 45 00.7;-59 42 00;2.875.988;-00.6461;-25.0;-6.864;2.509;0.389
NGC1261;03 12 16.21;-55 12 58.4;27.053.871;-5.212.435;71.5;1.61; -2.05;0.068
NGC3201;10 17 36.82;-46 24 44.9;27.722.879;864.038;494.3;" 	8.35"; -2.00;0.222 
NGC6139;16 27 39.987;-38 50 57.03;342.364.641;6.939.532;25.0;" 	-6.16";-2.67;0.112
NGC6205;" 	16 41 41.634";36 27 40.75;59.009.475;40.911.761;-244.4;-3.18; -2.56;0.127
NGC6362;17 31 54.99;-67 02 54.0;32.555.452;-1.756.977;-14.7;-5.49;-4.76;0.136
NGC6397;" 	17 40 42.09";-53 40 27.6;" 	338.16501";-1.195.952;18.4;3.30;-17.60;0.416
NGC6712;18 53 04.32;-08 42 21.5;2.535.411;-431.800;-107.5;3.32; -4.38;0.146
Pal13;23 06 44.48;12 46 19.2;8.710.380;-4.269.993;25.7;1748; 0.104;-0.037
